Παροχή_Κωδικοποιημένη,Ημ.Έκδοσης,"Περίοδος Κατανάλωσης",ΣΕΛΙΔΑ,Τιμολόγιο,ΤΥΠΟΣ,Ημέρα,Προηγ.,ΣΩΧΒ,Συν.ΩΧΒ,ΧρΖητ,ΣυμφΙσχ,ΕγκΙσχ,Συνφ,ΖητΑιχ,ΖητΗμ,ΖητΝυκ,ΣυντΧρησ,"ΧΡΕΩΣΕΙΣ ΠΡΟΜΗΘΕΙΑΣ ΔΕΗ","ΦΠΑ  6% x","ΡΥΘΜΙΖΟΜΕΝΕΣ ΧΡΕΩΣΕΙΣ","ΦΠΑ   % x          0,00","ΜΕΙΟΝ ΕΝΑΝΤΙ ΚΑΤΑΝΑΛΩΣΗΣ",Ε.Ρ.Τ.,"ΤΡΕΧΩΝ ΜΗΝΑΣ",ΕΚΠΤ.ΣΥΝΕΠΕΙΑΣ/ΠΡΟΠΛΗΡΩΜΗΣ,ΔΗΜ.ΤΕΛΗ/ΔΗΜ.ΦΟΡΟΣ,ΔΙΑΦ.ΧΡΕΩΣΕΙΣ/ΠΙΣΤΩΣΕΙΣ,Τ.Α.Π.,Τελευτ.,"Αεργος Ημέρα",Τελευτ._Αεργος,Προηγ._Αεργος,ΣΩΧΒ_Αεργος,Συν.ΩΧΒ_Αεργος,Νύχτα,Προηγ._Νύχτα,ΣΩΧΒ_Νύχτα,Συν.ΩΧΒ_Νύχτα,year,month,Τελευτ._Νύχτα,Ημέρα_2,Προηγ._2,ΣΩΧΒ_2,Συν.ΩΧΒ_2,Τελευτ._2
33,24/10/2022,31.08.2022-20.10.2022,2,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,26339,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","199,31","15,74","63,03","0,00","0,00","0,00","278,00","0,00","0,00","-0,08","0,00",,,,,,,,,,,2022,10,,,,,,
463,22/02/2022,27.12.2021-20.02.2022,21,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,75189,1,0,"0,000",35,35,"1,0000","0,00","0,00","0,00","0,000","424,71","38,01","251,95","0,00","0,00","5,52","677,00","-43,13","0,00","-0,06","0,00",,,,,,,,,,,2022,2,,,,,,
87,22/04/2021,22.02.2021-20.04.2021,4,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,70572,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","160,69","15,06","90,35","0,00","0,00","0,00","266,00","0,00","0,00","-0,10","0,00",,,,,,,,,,,2021,4,,,,,,
94,24/08/2022,22.06.2022-22.08.2022,5,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,11835,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","310,59","23,91","87,85","0,00","0,00","0,00","422,00","0,00","0,00","-0,35","0,00",,,,,,,,,,,2022,8,,,,,,
460,22/10/2021,23.08.2021-20.10.2021,30,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,51568,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","100,55","8,67","59,82","0,00","0,00","0,00","153,00","-15,76","0,00","-0,28","0,00",,,,,,,,,,,2021,10,,,,,,
457,23/06/2021,21.04.2021-21.06.2021,29,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,23229,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","27,05","2,78","19,25","0,00","0,00","0,00","49,00","0,00","0,00","-0,08","0,00",,,,,,,,,,,2021,6,,,,,,
417,27/06/2022,27.12.2021-21.06.2022,20,Γ21,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,82073,1,3351,"0,000",8,8,"1,0000","0,00","0,00","0,00","0,000","664,67","32,99","207,06","0,00","-332,97","0,00","587,00","-5,80","0,00","21,05","0,00",85424,,,,,,,,,,2022,6,,,,,,
247,14/06/2022,06.05.2022-02.06.2022,17,Γ22,ΕΝΑΝΤΙ,Ημέρα,92608,1,0,"13,1",35,36,"1,0000","0,00",7,"0,00","19,1","147,94","12,57","62,23","0,00","0,00","0,00","222,00","0,00","0,00","-0,74","0,00",,,,,,,,,,,2022,6,,,,,,
464,11/03/2021,03.02.2021-02.03.2021,11,Γ22,ΕΝΑΝΤΙ,Ημέρα,120005,1,0,"46,5",55,55,"1,0000","0,00",25,"0,00","9,3","215,31","19,25","105,48","0,00","0,00","2,76","343,00","0,00","0,00","0,20","0,00",,,,,,,,,,,2021,3,,,,,,
260,24/10/2022,30.08.2022-20.10.2022,19,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,32784,1,0,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","7,25","0,63","3,14","0,00","0,00","0,00","11,00","0,00","0,00","-0,02","0,00",,,,,,,,,,,2022,10,,,,,,
389,26/08/2021,24.02.2021-22.08.2021,24,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,8960,1,5297,"0,000",35,35,"1,0000","0,00","0,00","0,00","0,000","570,42","24,01","345,65","0,00","-542,53","0,00","429,00","0,00","0,00","31,45","0,00",14257,,,,,,,,,,2021,8,,,,,,
456,22/04/2021,24.02.2021-20.04.2021,31,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,14947,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","12,54","1,29","10,86","0,00","0,00","0,00","23,00","-2,08","0,00","0,39","0,00",,,,,,,,,,,2021,4,,,,,,
355,02/07/2022,02.06.2022-28.06.2022,4,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,29335,1,211,"7,0",35,32,"1,0000","0,00",4,"0,00","8,4","38,99","3,63","20,92","0,00","0,00","0,00","64,00","-0,48","0,00","0,94","0,00",29546,,,,,,,,,,2022,7,,,,,,
456,24/12/2021,21.10.2021-22.12.2021,29,ΦΟΠ,ΕΝΑΝΤΙ,Ημέρα,15315,1,0,"0,000",15,15,"1,0000","0,00","0,00","0,00","0,000","11,58","1,35","10,83","0,00","0,00","0,00","24,00","0,00","0,00","0,24","0,00",,,,,,,,,,,2021,12,,,,,,
357,04/12/2021,01.11.2021-30.11.2021,23,Γ22,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,12723,40,5640,"104,0",135,123,"0,9870","0,00",52,"0,00","15,1","1550,73","117,36","377,15","0,00","0,00","0,00","2083,00","0,00","0,00","37,76","0,00",12864,Αεργος,8951,8928,40,920,,,,,2021,12,,,,,,
313,29/12/2021,23.06.2021-26.12.2021,13,ΦΟΠ,ΕΚΚΑΘΑΡΙΣΤΙΚΟΣ,Ημέρα,72963,1,230,"0,000",8,1,"1,0000","0,00","0,00","0,00","0,000","33,01","1,10","20,70","0,00","-36,43","0,00","20,00","0,00","0,00","1,62","0,00",73193,,,,,,,,,,2021,12,,,,,,
